Gender,Age_Group,Marital_Status,Income_Level,Time_of_Day,Day,Location,Cuisine_Type
Other,35-44,Single,Upper-Middle,Snack,Monday,MG Road,Street Food
Female,45-54,Single,High,Dinner,Monday,Ramachandra Nagar,Biryani
Female,18-24,Single,Upper-Middle,Dinner,Wednesday,Gunadala,South Indian
Male,25-34,Married,Low,Lunch,Wednesday,Ramachandra Nagar,North Indian
Other,45-54,Married,High,Dinner,Tuesday,One Town,Fast Food
Male,35-44,Married,High,Breakfast,Thursday,Gunadala,South Indian
Male,25-34,Divorced,Low,Breakfast,Saturday,Bhavanipuram,North Indian
Female,35-44,Widowed,Middle,Breakfast,Friday,Poranki,South Indian
Male,35-44,Single,Upper-Middle,Breakfast,Friday,Benz Circle,Fast Food
Male,55-64,Divorced,High,Lunch,Monday,Bhavanipuram,Biryani
Female,25-34,Widowed,High,Late Night,Thursday,Gunadala,South Indian
Other,45-54,Married,Upper-Middle,Dinner,Monday,Patamata,Continental
Male,25-34,Divorced,Low,Breakfast,Monday,Ramachandra Nagar,South Indian
Male,35-44,Single,High,Late Night,Friday,Bhavanipuram,Fast Food
Male,18-24,Divorced,Middle,Lunch,Saturday,Poranki,Biryani
Female,18-24,Single,High,Late Night,Friday,Benz Circle,Fast Food
Male,18-24,Divorced,Upper-Middle,Late Night,Sunday,MG Road,Chinese
Other,55-64,Widowed,Upper-Middle,Dinner,Thursday,Poranki,Biryani
Other,25-34,Married,Upper-Middle,Late Night,Wednesday,Auto Nagar,Street Food
Male,55-64,Divorced,Low,Dinner,Wednesday,MG Road,Chinese
Female,25-34,Married,Upper-Middle,Breakfast,Friday,Patamata,Continental
Male,55-64,Widowed,Middle,Dinner,Wednesday,MG Road,Chinese
Male,45-54,Widowed,Low,Snack,Tuesday,Governorpet,South Indian
Female,25-34,Divorced,Low,Snack,Friday,Bhavanipuram,Biryani
Other,18-24,Divorced,Upper-Middle,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Other,18-24,Married,Upper-Middle,Late Night,Monday,Ramachandra Nagar,Fast Food
Other,45-54,Single,Low,Snack,Wednesday,Governorpet,Street Food
Other,25-34,Single,Upper-Middle,Lunch,Thursday,Gunadala,South Indian
Male,25-34,Widowed,High,Snack,Thursday,Poranki,Bakery
Female,25-34,Married,Low,Breakfast,Tuesday,MG Road,Chinese
Female,18-24,Widowed,High,Breakfast,Wednesday,MG Road,Chinese
Other,25-34,Divorced,Upper-Middle,Dinner,Friday,Poranki,Bakery
Female,45-54,Single,Middle,Dinner,Friday,Poranki,Biryani
Other,55-64,Divorced,Middle,Dinner,Friday,Ramachandra Nagar,North Indian
Other,35-44,Single,Upper-Middle,Breakfast,Thursday,Benz Circle,Fast Food
Female,18-24,Single,High,Snack,Saturday,One Town,Street Food
Other,45-54,Married,Low,Late Night,Thursday,Ramachandra Nagar,Fast Food
Other,18-24,Divorced,Upper-Middle,Breakfast,Sunday,Governorpet,South Indian
Male,45-54,Divorced,Upper-Middle,Snack,Thursday,Poranki,Street Food
Other,25-34,Widowed,Middle,Snack,Monday,Poranki,Street Food
Male,55-64,Married,Low,Snack,Saturday,One Town,Street Food
Other,35-44,Widowed,High,Lunch,Tuesday,MG Road,Chinese
Male,55-64,Single,High,Snack,Friday,Bhavanipuram,Biryani
Male,35-44,Divorced,Low,Breakfast,Sunday,Ramachandra Nagar,North Indian
Female,25-34,Divorced,Middle,Late Night,Wednesday,Ramachandra Nagar,North Indian
Female,35-44,Divorced,Low,Late Night,Sunday,Poranki,Bakery
Other,45-54,Single,Low,Dinner,Tuesday,Auto Nagar,Biryani
Female,35-44,Single,Low,Lunch,Sunday,Ramachandra Nagar,Biryani
Other,35-44,Divorced,Middle,Late Night,Tuesday,Gunadala,North Indian
Female,55-64,Single,Low,Late Night,Saturday,Gunadala,Chinese
Other,55-64,Single,Middle,Snack,Thursday,Patamata,Continental
Male,55-64,Divorced,Middle,Lunch,Monday,MG Road,Chinese
Other,25-34,Married,Low,Late Night,Thursday,Poranki,Bakery
Other,35-44,Married,Middle,Dinner,Friday,Governorpet,Biryani
Male,55-64,Single,Middle,Breakfast,Tuesday,Benz Circle,South Indian
Other,25-34,Single,Low,Dinner,Wednesday,MG Road,North Indian
Other,45-54,Married,Middle,Snack,Sunday,Poranki,Bakery
Female,25-34,Divorced,High,Snack,Tuesday,Governorpet,South Indian
Other,55-64,Single,Low,Breakfast,Saturday,Auto Nagar,Biryani
Female,18-24,Divorced,Middle,Lunch,Tuesday,Ramachandra Nagar,North Indian
Male,45-54,Married,Low,Breakfast,Sunday,Gunadala,South Indian
Male,25-34,Single,Upper-Middle,Lunch,Thursday,Auto Nagar,Biryani
Other,45-54,Divorced,Middle,Snack,Monday,Patamata,Continental
Male,25-34,Married,Low,Snack,Sunday,Poranki,Bakery
Female,25-34,Single,High,Snack,Monday,One Town,Street Food
Other,35-44,Single,High,Lunch,Thursday,Auto Nagar,Biryani
Male,35-44,Divorced,High,Lunch,Saturday,Bhavanipuram,Biryani
Female,45-54,Divorced,Middle,Late Night,Monday,One Town,Fast Food
Male,45-54,Married,High,Dinner,Monday,Benz Circle,Biryani
Male,45-54,Widowed,High,Snack,Saturday,Governorpet,South Indian
Female,45-54,Married,High,Dinner,Friday,Poranki,Bakery
Male,35-44,Married,High,Breakfast,Saturday,Governorpet,Continental
Other,35-44,Single,Upper-Middle,Late Night,Tuesday,Poranki,Bakery
Male,18-24,Married,Middle,Dinner,Tuesday,Poranki,Biryani
Female,18-24,Widowed,Middle,Snack,Sunday,Gunadala,South Indian
Female,35-44,Married,Low,Dinner,Tuesday,Governorpet,Continental
Female,55-64,Married,Low,Lunch,Wednesday,Poranki,Bakery
Female,45-54,Single,Upper-Middle,Snack,Tuesday,Ramachandra Nagar,North Indian
Female,55-64,Married,Upper-Middle,Snack,Wednesday,Gunadala,South Indian
Male,18-24,Married,Upper-Middle,Breakfast,Wednesday,Ramachandra Nagar,North Indian
Male,45-54,Widowed,Low,Breakfast,Tuesday,Governorpet,South Indian
Other,18-24,Widowed,Middle,Late Night,Monday,Patamata,Continental
Female,25-34,Single,Upper-Middle,Late Night,Wednesday,Bhavanipuram,Fast Food
Other,55-64,Single,Middle,Snack,Saturday,Governorpet,Street Food
Other,45-54,Widowed,Low,Late Night,Sunday,Auto Nagar,Fast Food
Male,35-44,Widowed,Upper-Middle,Lunch,Monday,MG Road,Chinese
Female,25-34,Married,Upper-Middle,Lunch,Monday,Auto Nagar,Continental
Male,45-54,Single,Low,Lunch,Monday,Benz Circle,Fast Food
Female,25-34,Widowed,Upper-Middle,Dinner,Friday,MG Road,Biryani
Other,55-64,Widowed,Middle,Lunch,Monday,Governorpet,Biryani
Male,55-64,Married,Middle,Late Night,Sunday,Governorpet,Fast Food
Male,25-34,Single,Low,Dinner,Saturday,Governorpet,Continental
Other,25-34,Single,High,Dinner,Thursday,One Town,Street Food
Other,35-44,Divorced,Middle,Dinner,Sunday,Auto Nagar,Biryani
Male,25-34,Married,Upper-Middle,Late Night,Sunday,Auto Nagar,Fast Food
Male,45-54,Single,High,Dinner,Thursday,Patamata,Continental
Male,35-44,Single,High,Late Night,Tuesday,One Town,Street Food
Male,18-24,Divorced,High,Dinner,Friday,Auto Nagar,Biryani
Female,45-54,Divorced,High,Breakfast,Sunday,Gunadala,South Indian
Male,25-34,Single,Low,Late Night,Thursday,Auto Nagar,Biryani
Female,25-34,Married,Upper-Middle,Lunch,Monday,Poranki,Street Food
Other,18-24,Divorced,Middle,Dinner,Thursday,Poranki,Bakery
Male,25-34,Divorced,Low,Late Night,Tuesday,One Town,Street Food
Female,35-44,Married,High,Late Night,Monday,Poranki,Fast Food
Female,45-54,Widowed,High,Breakfast,Tuesday,Patamata,Continental
Other,55-64,Widowed,Middle,Late Night,Monday,Patamata,Continental
Other,25-34,Single,High,Snack,Tuesday,Poranki,Bakery
Other,55-64,Divorced,High,Dinner,Monday,Gunadala,South Indian
Male,55-64,Widowed,Middle,Late Night,Thursday,Auto Nagar,Biryani
Other,18-24,Single,High,Dinner,Wednesday,Governorpet,South Indian
Male,35-44,Married,Upper-Middle,Late Night,Friday,One Town,Street Food
Male,18-24,Widowed,Upper-Middle,Snack,Monday,Auto Nagar,Street Food
Other,45-54,Single,High,Late Night,Sunday,One Town,Street Food
Other,45-54,Widowed,Middle,Dinner,Wednesday,Auto Nagar,Biryani
Other,45-54,Single,High,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Male,35-44,Married,High,Snack,Wednesday,Patamata,Continental
Female,18-24,Widowed,Upper-Middle,Breakfast,Thursday,Poranki,South Indian
Male,18-24,Married,High,Lunch,Sunday,Poranki,Bakery
Female,18-24,Married,Upper-Middle,Dinner,Tuesday,Poranki,Bakery
Female,45-54,Single,Middle,Late Night,Wednesday,Bhavanipuram,Fast Food
Other,45-54,Single,Low,Late Night,Tuesday,Governorpet,South Indian
Male,25-34,Single,Low,Late Night,Saturday,Poranki,Bakery
Other,45-54,Widowed,Middle,Breakfast,Sunday,Patamata,Continental
Male,55-64,Single,Middle,Dinner,Wednesday,Governorpet,South Indian
Other,45-54,Married,Middle,Dinner,Sunday,MG Road,Biryani
Female,45-54,Married,High,Dinner,Thursday,Poranki,Biryani
Male,45-54,Single,Upper-Middle,Breakfast,Saturday,Benz Circle,South Indian
Male,18-24,Divorced,Middle,Lunch,Monday,Ramachandra Nagar,North Indian
Male,55-64,Married,High,Late Night,Tuesday,Bhavanipuram,Fast Food
Male,45-54,Divorced,High,Breakfast,Sunday,Benz Circle,North Indian
Female,55-64,Married,High,Snack,Tuesday,One Town,Street Food
Other,18-24,Divorced,High,Breakfast,Monday,One Town,Street Food
Male,18-24,Widowed,Upper-Middle,Snack,Wednesday,Patamata,Continental
Female,35-44,Widowed,Upper-Middle,Lunch,Saturday,MG Road,Chinese
Male,18-24,Married,Low,Dinner,Tuesday,MG Road,South Indian
Male,18-24,Married,High,Dinner,Thursday,MG Road,Chinese
Other,25-34,Divorced,High,Breakfast,Wednesday,Poranki,Bakery
Other,35-44,Single,Middle,Breakfast,Thursday,Poranki,Chinese
Male,18-24,Widowed,High,Lunch,Wednesday,Auto Nagar,Bakery
Other,35-44,Divorced,Upper-Middle,Snack,Thursday,Ramachandra Nagar,Continental
Female,45-54,Married,Upper-Middle,Dinner,Wednesday,Gunadala,Biryani
Male,45-54,Widowed,High,Snack,Sunday,MG Road,Chinese
Male,45-54,Widowed,Upper-Middle,Lunch,Monday,Governorpet,Biryani
Other,45-54,Divorced,Upper-Middle,Lunch,Saturday,Ramachandra Nagar,Biryani
Male,35-44,Single,Middle,Snack,Tuesday,MG Road,Chinese
Male,18-24,Married,Middle,Dinner,Thursday,Benz Circle,Continental
Male,25-34,Single,Low,Lunch,Tuesday,Patamata,Continental
Other,45-54,Single,Upper-Middle,Late Night,Tuesday,Governorpet,South Indian
Male,55-64,Single,Low,Snack,Friday,Bhavanipuram,Biryani
Female,45-54,Single,Low,Dinner,Thursday,Auto Nagar,Biryani
Female,35-44,Divorced,Low,Lunch,Saturday,Ramachandra Nagar,Biryani
Other,35-44,Married,Middle,Late Night,Wednesday,Patamata,Continental
Male,18-24,Divorced,Upper-Middle,Breakfast,Thursday,Gunadala,South Indian
Female,25-34,Married,Upper-Middle,Late Night,Saturday,Ramachandra Nagar,Fast Food
Other,18-24,Widowed,High,Late Night,Monday,Governorpet,Fast Food
Other,25-34,Divorced,Middle,Dinner,Thursday,Ramachandra Nagar,Biryani
Male,18-24,Widowed,Middle,Lunch,Friday,One Town,Street Food
Female,35-44,Single,Middle,Breakfast,Thursday,Bhavanipuram,South Indian
Female,35-44,Widowed,High,Late Night,Thursday,Bhavanipuram,South Indian
Other,35-44,Widowed,Upper-Middle,Breakfast,Saturday,Auto Nagar,South Indian
Female,35-44,Married,Low,Dinner,Thursday,Poranki,Bakery
Female,25-34,Divorced,High,Snack,Saturday,Governorpet,Street Food
Other,45-54,Single,Middle,Snack,Wednesday,Ramachandra Nagar,Chinese
Other,55-64,Married,High,Late Night,Wednesday,MG Road,Fast Food
Other,25-34,Married,Upper-Middle,Dinner,Monday,One Town,Biryani
Female,55-64,Married,Upper-Middle,Snack,Friday,Ramachandra Nagar,North Indian
Male,25-34,Married,Middle,Lunch,Tuesday,Ramachandra Nagar,North Indian
Male,25-34,Widowed,Low,Lunch,Friday,Auto Nagar,Biryani
Male,18-24,Widowed,Low,Breakfast,Friday,MG Road,Chinese
Female,25-34,Divorced,Middle,Dinner,Saturday,Ramachandra Nagar,North Indian
Male,25-34,Married,Low,Breakfast,Friday,Governorpet,South Indian
Female,25-34,Married,Low,Late Night,Saturday,Poranki,Bakery
Other,35-44,Widowed,High,Dinner,Friday,Poranki,Biryani
Male,35-44,Married,High,Lunch,Friday,MG Road,Biryani
Other,35-44,Divorced,High,Snack,Thursday,One Town,Street Food
Male,18-24,Single,Low,Snack,Saturday,One Town,Bakery
Other,35-44,Single,Upper-Middle,Late Night,Friday,Gunadala,Fast Food
Female,18-24,Widowed,Low,Snack,Thursday,Ramachandra Nagar,Street Food
Male,25-34,Divorced,Low,Breakfast,Sunday,Benz Circle,Fast Food
Other,25-34,Married,High,Late Night,Wednesday,Auto Nagar,Biryani
Male,25-34,Divorced,Middle,Late Night,Sunday,Benz Circle,Fast Food
Male,35-44,Divorced,Upper-Middle,Breakfast,Monday,Poranki,Bakery
Female,55-64,Divorced,Upper-Middle,Breakfast,Friday,Patamata,Continental
Male,35-44,Married,Upper-Middle,Late Night,Thursday,Patamata,Street Food
Other,18-24,Widowed,Upper-Middle,Late Night,Friday,Benz Circle,Fast Food
Female,35-44,Married,High,Lunch,Friday,MG Road,Chinese
Other,35-44,Widowed,High,Lunch,Sunday,MG Road,Biryani
Other,18-24,Married,High,Late Night,Saturday,One Town,Street Food
Other,25-34,Single,Upper-Middle,Snack,Monday,Governorpet,South Indian
Female,35-44,Divorced,Low,Breakfast,Wednesday,MG Road,Chinese
Other,55-64,Widowed,Low,Lunch,Friday,Benz Circle,Fast Food
Male,18-24,Widowed,Upper-Middle,Late Night,Monday,MG Road,Chinese
Male,18-24,Married,Low,Dinner,Saturday,Governorpet,Biryani
Other,55-64,Married,High,Snack,Wednesday,Auto Nagar,Biryani
Other,45-54,Divorced,Upper-Middle,Late Night,Tuesday,Ramachandra Nagar,North Indian
Female,55-64,Married,Middle,Breakfast,Thursday,Bhavanipuram,Biryani
Other,55-64,Single,High,Dinner,Saturday,Poranki,Bakery
Female,45-54,Divorced,High,Lunch,Tuesday,One Town,Biryani
Female,18-24,Married,High,Lunch,Sunday,One Town,Street Food
Other,55-64,Divorced,Middle,Breakfast,Friday,Patamata,Continental
Male,45-54,Divorced,Low,Snack,Tuesday,Patamata,Continental
Female,45-54,Widowed,Low,Snack,Tuesday,Patamata,Continental
Male,55-64,Married,Upper-Middle,Late Night,Saturday,Auto Nagar,Biryani
Male,55-64,Single,Low,Breakfast,Wednesday,Auto Nagar,Biryani
Female,25-34,Divorced,High,Late Night,Saturday,Gunadala,Fast Food
Female,25-34,Widowed,High,Breakfast,Saturday,Auto Nagar,Biryani
Female,35-44,Single,Upper-Middle,Snack,Thursday,Ramachandra Nagar,Street Food
Female,35-44,Single,Upper-Middle,Breakfast,Friday,Ramachandra Nagar,North Indian
Female,55-64,Divorced,Upper-Middle,Lunch,Thursday,Benz Circle,Biryani
Other,55-64,Single,High,Lunch,Thursday,Governorpet,South Indian
Male,45-54,Married,Low,Dinner,Saturday,One Town,Street Food
Male,35-44,Single,High,Breakfast,Sunday,Benz Circle,Fast Food
Female,18-24,Married,Upper-Middle,Late Night,Wednesday,Governorpet,South Indian
Other,18-24,Single,Upper-Middle,Late Night,Saturday,Bhavanipuram,Fast Food
Other,35-44,Married,Low,Snack,Wednesday,One Town,Street Food
Male,45-54,Single,Upper-Middle,Lunch,Friday,Patamata,Continental
Male,55-64,Single,Upper-Middle,Breakfast,Sunday,Benz Circle,Fast Food
Other,55-64,Widowed,High,Dinner,Tuesday,Gunadala,South Indian
Male,25-34,Single,Low,Lunch,Monday,Gunadala,South Indian
Other,35-44,Single,Low,Lunch,Sunday,Benz Circle,Fast Food
Other,35-44,Single,Upper-Middle,Snack,Sunday,Ramachandra Nagar,North Indian
Male,25-34,Divorced,High,Dinner,Tuesday,Gunadala,Biryani
Male,25-34,Single,Middle,Lunch,Monday,Auto Nagar,Biryani
Male,55-64,Widowed,Upper-Middle,Late Night,Saturday,One Town,Street Food
Other,35-44,Married,Middle,Snack,Saturday,One Town,Street Food
Female,18-24,Divorced,High,Late Night,Sunday,Governorpet,South Indian
Female,45-54,Divorced,Middle,Lunch,Wednesday,Governorpet,South Indian
Other,45-54,Married,Low,Lunch,Tuesday,One Town,Street Food
Female,45-54,Divorced,Low,Snack,Friday,Governorpet,South Indian
Other,18-24,Married,Middle,Lunch,Friday,Bhavanipuram,Biryani
Female,45-54,Widowed,Low,Lunch,Wednesday,Patamata,South Indian
Other,55-64,Widowed,Middle,Dinner,Tuesday,MG Road,Chinese
Female,55-64,Divorced,High,Late Night,Friday,Patamata,Continental
Male,45-54,Divorced,Middle,Lunch,Sunday,Benz Circle,Fast Food
Male,25-34,Married,High,Snack,Tuesday,Auto Nagar,Biryani
Female,45-54,Divorced,High,Snack,Monday,One Town,Street Food
Other,55-64,Single,High,Late Night,Saturday,Auto Nagar,Biryani
Male,35-44,Widowed,High,Snack,Sunday,Bhavanipuram,Biryani
Male,18-24,Single,Upper-Middle,Dinner,Thursday,MG Road,Chinese
Female,55-64,Divorced,Upper-Middle,Lunch,Thursday,Gunadala,South Indian
Male,45-54,Widowed,Low,Breakfast,Sunday,Patamata,Continental
Male,25-34,Single,Upper-Middle,Breakfast,Friday,Gunadala,South Indian
Other,25-34,Divorced,Upper-Middle,Breakfast,Monday,Auto Nagar,South Indian
Female,35-44,Married,High,Breakfast,Thursday,Gunadala,South Indian
Male,55-64,Married,Middle,Snack,Monday,Auto Nagar,Street Food
Male,45-54,Divorced,High,Breakfast,Wednesday,MG Road,North Indian
Male,35-44,Single,High,Breakfast,Wednesday,One Town,Street Food
Other,35-44,Married,Upper-Middle,Lunch,Thursday,Poranki,Biryani
Female,55-64,Married,Middle,Breakfast,Monday,Benz Circle,Biryani
Male,55-64,Single,Upper-Middle,Breakfast,Thursday,One Town,Street Food
Male,55-64,Single,High,Lunch,Friday,Patamata,Continental
Female,18-24,Married,Low,Lunch,Friday,Ramachandra Nagar,North Indian
Male,45-54,Divorced,Middle,Lunch,Saturday,Gunadala,South Indian
Other,25-34,Married,Low,Late Night,Tuesday,Auto Nagar,Biryani
Female,55-64,Widowed,Low,Snack,Friday,Gunadala,Street Food
Male,55-64,Divorced,High,Late Night,Tuesday,Benz Circle,Fast Food
Other,18-24,Divorced,Middle,Snack,Tuesday,Bhavanipuram,Biryani
Female,18-24,Single,Upper-Middle,Lunch,Sunday,One Town,Street Food
Male,35-44,Widowed,High,Dinner,Thursday,One Town,Street Food
Other,18-24,Married,Middle,Late Night,Friday,Patamata,Fast Food
Male,45-54,Single,Upper-Middle,Dinner,Friday,Poranki,Bakery
Male,18-24,Widowed,High,Snack,Friday,Ramachandra Nagar,North Indian
Female,55-64,Married,High,Lunch,Wednesday,Benz Circle,Biryani
Male,55-64,Single,Low,Late Night,Friday,Bhavanipuram,Biryani
Male,35-44,Widowed,High,Breakfast,Wednesday,Benz Circle,Fast Food
Other,18-24,Divorced,Middle,Snack,Sunday,Bhavanipuram,Biryani
Male,25-34,Widowed,Upper-Middle,Lunch,Saturday,Gunadala,South Indian
Female,45-54,Widowed,Low,Lunch,Friday,MG Road,Chinese
Other,55-64,Married,High,Dinner,Friday,Patamata,Continental
Male,35-44,Married,Upper-Middle,Lunch,Wednesday,One Town,Street Food
Other,55-64,Widowed,High,Dinner,Tuesday,One Town,Street Food
Other,25-34,Single,High,Late Night,Thursday,Governorpet,Fast Food
Male,45-54,Divorced,High,Late Night,Friday,Patamata,Continental
Female,25-34,Single,High,Breakfast,Saturday,Poranki,Bakery
Female,55-64,Widowed,High,Snack,Friday,Poranki,Bakery
Other,35-44,Widowed,High,Late Night,Thursday,Bhavanipuram,Biryani
Male,55-64,Married,High,Late Night,Thursday,Bhavanipuram,Biryani
Other,55-64,Married,Middle,Late Night,Tuesday,Ramachandra Nagar,North Indian
Female,55-64,Single,High,Late Night,Tuesday,MG Road,Chinese
Female,45-54,Divorced,Upper-Middle,Dinner,Sunday,MG Road,Chinese
Female,25-34,Divorced,Middle,Snack,Sunday,Benz Circle,Street Food
Other,45-54,Divorced,Upper-Middle,Snack,Tuesday,Poranki,Street Food
Other,55-64,Single,High,Dinner,Monday,Auto Nagar,Biryani
Female,45-54,Married,Low,Lunch,Monday,Ramachandra Nagar,Biryani
Female,35-44,Divorced,High,Dinner,Saturday,Ramachandra Nagar,Biryani
Other,35-44,Widowed,Upper-Middle,Breakfast,Friday,Gunadala,Bakery
Male,45-54,Single,Middle,Snack,Monday,Ramachandra Nagar,South Indian
Female,55-64,Married,High,Snack,Monday,Ramachandra Nagar,Street Food
Female,55-64,Divorced,High,Snack,Thursday,Patamata,Continental
Other,25-34,Divorced,Upper-Middle,Lunch,Saturday,Bhavanipuram,Biryani
Female,18-24,Divorced,Low,Late Night,Thursday,Governorpet,South Indian
Other,25-34,Single,Upper-Middle,Lunch,Saturday,Auto Nagar,Biryani
Female,18-24,Widowed,Low,Lunch,Tuesday,Patamata,Biryani
Other,35-44,Widowed,Low,Dinner,Thursday,Gunadala,North Indian
Other,18-24,Married,Low,Snack,Thursday,One Town,Continental
Female,25-34,Married,High,Dinner,Monday,Ramachandra Nagar,North Indian
Female,35-44,Single,Upper-Middle,Lunch,Sunday,Auto Nagar,Biryani
Male,18-24,Widowed,Low,Late Night,Tuesday,MG Road,Chinese
Female,45-54,Divorced,Upper-Middle,Dinner,Wednesday,Ramachandra Nagar,North Indian
Other,18-24,Single,Upper-Middle,Breakfast,Friday,Benz Circle,Fast Food
Male,45-54,Single,High,Lunch,Thursday,Patamata,Continental
Other,35-44,Divorced,Low,Breakfast,Monday,Bhavanipuram,Biryani
Male,18-24,Married,Upper-Middle,Late Night,Monday,Auto Nagar,North Indian
Male,55-64,Single,Middle,Late Night,Tuesday,MG Road,Fast Food
Female,25-34,Divorced,Low,Breakfast,Tuesday,Bhavanipuram,Chinese
Male,18-24,Divorced,High,Lunch,Tuesday,One Town,Biryani
Male,55-64,Married,Low,Snack,Friday,Auto Nagar,Biryani
Male,45-54,Single,High,Snack,Thursday,MG Road,Street Food
Female,18-24,Divorced,Low,Breakfast,Monday,Governorpet,Continental
Other,35-44,Single,Upper-Middle,Dinner,Thursday,MG Road,Chinese
Other,25-34,Single,Low,Lunch,Monday,Bhavanipuram,Biryani
Female,25-34,Divorced,High,Dinner,Wednesday,Governorpet,Biryani
Female,25-34,Divorced,Middle,Dinner,Tuesday,One Town,Street Food
Male,45-54,Widowed,Middle,Lunch,Tuesday,MG Road,Chinese
Male,55-64,Divorced,Upper-Middle,Snack,Monday,Benz Circle,Fast Food
Female,25-34,Divorced,High,Dinner,Tuesday,Governorpet,Street Food
Male,18-24,Married,Upper-Middle,Breakfast,Friday,Auto Nagar,South Indian
Female,55-64,Married,Low,Breakfast,Friday,Auto Nagar,South Indian
Female,35-44,Married,Middle,Breakfast,Sunday,Patamata,Continental
Male,45-54,Single,Middle,Lunch,Wednesday,One Town,Street Food
Other,55-64,Divorced,High,Lunch,Sunday,Governorpet,South Indian
Male,18-24,Widowed,Low,Dinner,Tuesday,Bhavanipuram,Biryani
Other,55-64,Single,Upper-Middle,Dinner,Saturday,Governorpet,South Indian
Female,35-44,Single,Low,Lunch,Sunday,Poranki,Bakery
Male,25-34,Single,Middle,Dinner,Sunday,Governorpet,South Indian
Other,18-24,Married,Low,Breakfast,Monday,Governorpet,South Indian
Other,25-34,Divorced,High,Snack,Sunday,Auto Nagar,Biryani
Other,18-24,Widowed,Upper-Middle,Lunch,Friday,Ramachandra Nagar,North Indian
Female,55-64,Married,High,Dinner,Sunday,Patamata,Continental
Other,45-54,Widowed,High,Lunch,Sunday,Patamata,Continental
Male,18-24,Single,Upper-Middle,Snack,Monday,Ramachandra Nagar,North Indian
Other,55-64,Widowed,Middle,Late Night,Friday,MG Road,Fast Food
Other,35-44,Widowed,High,Lunch,Saturday,Patamata,Biryani
Female,45-54,Married,High,Breakfast,Friday,Patamata,Continental
Other,55-64,Widowed,Low,Late Night,Friday,Gunadala,Fast Food
Female,25-34,Widowed,Low,Late Night,Tuesday,Benz Circle,Fast Food
Other,45-54,Divorced,High,Late Night,Friday,Benz Circle,Biryani
Other,18-24,Married,High,Lunch,Monday,MG Road,Chinese
Male,35-44,Married,Upper-Middle,Dinner,Thursday,Benz Circle,Biryani
Female,18-24,Widowed,Middle,Late Night,Sunday,Gunadala,South Indian
Male,55-64,Divorced,Upper-Middle,Dinner,Wednesday,Auto Nagar,Biryani
Female,18-24,Divorced,Low,Lunch,Friday,Benz Circle,Fast Food
Male,18-24,Widowed,Middle,Breakfast,Friday,Gunadala,Chinese
Female,35-44,Divorced,High,Late Night,Monday,Bhavanipuram,Biryani
Other,35-44,Divorced,High,Breakfast,Saturday,One Town,Street Food
Male,55-64,Married,Upper-Middle,Breakfast,Monday,Patamata,Continental
Male,18-24,Divorced,High,Dinner,Sunday,Benz Circle,Biryani
Other,25-34,Divorced,Upper-Middle,Dinner,Tuesday,Gunadala,North Indian
Male,35-44,Widowed,Low,Late Night,Wednesday,Patamata,Fast Food
Male,18-24,Divorced,Upper-Middle,Snack,Tuesday,Ramachandra Nagar,North Indian
Male,45-54,Widowed,Upper-Middle,Breakfast,Friday,Governorpet,South Indian
Male,55-64,Widowed,Low,Late Night,Wednesday,MG Road,Chinese
Male,55-64,Divorced,Middle,Breakfast,Thursday,One Town,Street Food
Other,18-24,Divorced,High,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Female,35-44,Divorced,Low,Lunch,Thursday,Benz Circle,Fast Food
Other,45-54,Widowed,Upper-Middle,Dinner,Wednesday,Governorpet,South Indian
Female,45-54,Widowed,Middle,Lunch,Friday,One Town,Biryani
Male,55-64,Single,Low,Late Night,Saturday,Gunadala,South Indian
Male,35-44,Single,Low,Breakfast,Friday,One Town,Street Food
Male,55-64,Married,Low,Snack,Thursday,Gunadala,South Indian
Other,55-64,Divorced,Low,Breakfast,Monday,Bhavanipuram,Biryani
Female,35-44,Married,High,Lunch,Wednesday,Ramachandra Nagar,Biryani
Other,18-24,Married,High,Snack,Saturday,MG Road,Chinese
Female,55-64,Divorced,Upper-Middle,Lunch,Saturday,Bhavanipuram,Biryani
Male,55-64,Divorced,Middle,Breakfast,Saturday,Patamata,Continental
Female,25-34,Married,Low,Lunch,Thursday,Benz Circle,Fast Food
Male,35-44,Divorced,Middle,Snack,Sunday,MG Road,Chinese
Female,45-54,Married,High,Snack,Monday,Patamata,Continental
Female,35-44,Single,Middle,Late Night,Friday,Ramachandra Nagar,North Indian
Male,45-54,Single,Low,Late Night,Wednesday,MG Road,Chinese
Female,18-24,Widowed,Upper-Middle,Dinner,Monday,One Town,Street Food
Female,18-24,Divorced,Low,Dinner,Sunday,Bhavanipuram,Biryani
Female,18-24,Divorced,Low,Dinner,Thursday,Poranki,Bakery
Female,18-24,Married,Low,Snack,Sunday,Governorpet,South Indian
Female,18-24,Married,Middle,Snack,Saturday,Poranki,Bakery
Other,55-64,Divorced,Low,Breakfast,Saturday,Ramachandra Nagar,North Indian
Other,35-44,Married,Upper-Middle,Lunch,Wednesday,One Town,Street Food
Male,25-34,Divorced,High,Late Night,Wednesday,Patamata,Continental
Other,55-64,Widowed,Middle,Breakfast,Sunday,Auto Nagar,Biryani
Male,25-34,Widowed,Low,Breakfast,Saturday,Governorpet,South Indian
